Date,Open,High,Low,Close,Adj Close,Volume
2018-06-18,107.010002,107.209999,104.830002,105.379997,91.337906,5964400
2018-06-19,105.489998,106.680000,105.220001,105.959999,91.840607,5504400
2018-06-20,105.730003,106.110001,105.360001,105.809998,91.710587,4601400
2018-06-21,106.570000,107.430000,106.300003,107.239998,92.950027,6550700
2018-06-22,107.239998,108.669998,107.139999,108.370003,93.929474,5709400
2018-06-25,107.709999,109.589996,107.709999,108.989998,94.466850,5183000
2018-06-26,109.050003,109.169998,107.470001,108.050003,93.652115,5034100
2018-06-27,108.370003,108.959999,107.620003,108.269997,93.842781,6229200
2018-06-28,108.419998,109.300003,108.300003,108.680000,94.198174,4297400
2018-06-29,108.720001,109.500000,107.800003,108.870003,94.362839,4721400
2018-07-02,108.699997,110.000000,108.309998,109.529999,94.934891,4711900
2018-07-03,108.580002,109.570000,108.059998,108.800003,94.302170,3769100
2018-07-05,108.910004,109.620003,108.000000,109.550003,94.952240,4870400
2018-07-06,109.489998,110.019997,108.970001,109.559998,94.960899,4387300
2018-07-09,109.129997,109.300003,107.519997,107.760002,93.400742,7866400
2018-07-10,110.620003,113.000000,109.680000,112.889999,97.847176,16107200
2018-07-11,112.639999,112.940002,112.099998,112.540001,97.543808,5521400
2018-07-12,112.540001,112.709999,110.970001,111.529999,96.668396,5500100
2018-07-13,111.680000,112.790001,111.620003,112.690002,97.673820,4417100
2018-07-16,112.559998,113.120003,111.750000,112.959999,97.907837,5413600
2018-07-17,113.470001,115.029999,113.470001,114.879997,99.571976,6783800
2018-07-18,114.919998,115.000000,113.889999,114.830002,99.528664,5379000
2018-07-19,114.769997,116.589996,114.750000,115.769997,100.343399,9241300
2018-07-20,115.750000,116.790001,115.220001,116.010002,100.551430,27559700
2018-07-23,115.519997,115.980003,113.580002,114.389999,99.147293,7769300
2018-07-24,114.139999,114.919998,113.849998,114.739998,99.450668,5095100
2018-07-25,114.940002,115.669998,114.500000,115.209999,99.858025,4762300
2018-07-26,116.139999,116.900002,114.879997,115.000000,99.676010,5096300
2018-07-27,114.769997,115.349998,114.029999,114.279999,99.051949,4563700
2018-07-30,113.779999,114.589996,113.669998,114.180000,98.965279,3621800
2018-07-31,114.660004,115.489998,114.110001,115.000000,99.676010,4892100
2018-08-01,114.419998,114.529999,113.230003,113.610001,98.471237,4169000
2018-08-02,113.599998,114.930000,113.089996,114.690002,99.407333,4167200
2018-08-03,114.769997,116.699997,114.370003,116.300003,100.802780,3934500
2018-08-06,117.250000,118.440002,116.900002,117.379997,101.738869,6704800
2018-08-07,116.449997,116.449997,113.529999,114.220001,98.999947,6919600
2018-08-08,114.519997,114.849998,113.470001,113.489998,98.367226,5172900
2018-08-09,114.120003,114.120003,113.379997,113.699997,98.549240,4115400
2018-08-10,113.589996,113.970001,112.570000,112.870003,97.829834,3711900
2018-08-13,112.809998,113.139999,112.010002,113.019997,97.959846,3170100
2018-08-14,112.699997,113.489998,112.110001,113.099998,98.029190,3836700
2018-08-15,112.760002,113.739998,112.250000,113.449997,98.332550,6513300
2018-08-16,113.739998,114.730003,113.370003,114.250000,99.025940,4504600
2018-08-17,114.000000,115.089996,114.000000,114.959999,99.641342,3391600
2018-08-20,114.989998,115.849998,114.599998,114.839996,99.537331,3676000
2018-08-21,115.250000,115.250000,113.650002,113.720001,98.566559,4667700
2018-08-22,113.699997,113.820000,111.959999,112.239998,97.283791,3860900
2018-08-23,112.169998,112.230003,111.510002,111.930000,97.015091,4508800
2018-08-24,111.870003,112.529999,111.800003,112.150002,97.205780,3677700
2018-08-27,112.580002,112.769997,111.830002,112.410004,97.431129,3155700
2018-08-28,112.220001,112.449997,110.889999,111.169998,96.356361,5229400
2018-08-29,111.300003,112.120003,111.220001,112.050003,97.119102,2403200
2018-08-30,111.870003,112.230003,111.550003,111.959999,97.041077,2119100
2018-08-31,111.769997,112.580002,111.260002,112.010002,97.084442,4248800
2018-09-04,111.820000,112.089996,110.449997,111.000000,96.209023,4576300
2018-09-05,110.760002,113.169998,110.699997,113.120003,98.046516,4392100
2018-09-06,112.000000,113.529999,111.440002,113.500000,99.189598,4808300
2018-09-07,112.849998,113.500000,111.510002,112.739998,98.525421,3833800
2018-09-10,112.919998,113.989998,112.699997,113.570000,99.250786,3289700
2018-09-11,111.849998,113.750000,111.849998,113.330002,99.041039,2807300
2018-09-12,113.309998,114.230003,113.040001,113.849998,99.495491,3651400
2018-09-13,114.489998,115.010002,113.690002,114.989998,100.491753,3808100
2018-09-14,114.889999,114.889999,113.720001,114.570000,100.124687,2698300
2018-09-17,114.599998,115.449997,114.220001,115.400002,100.850052,3092600
2018-09-18,115.480003,115.480003,113.690002,113.980003,99.609108,4081200
2018-09-19,113.949997,114.239998,113.459999,113.769997,99.425552,2844900
2018-09-20,114.230003,115.510002,114.110001,115.220001,100.692741,3375900
2018-09-21,115.260002,115.519997,114.839996,114.910004,100.421837,6989500
2018-09-24,114.099998,114.720001,112.199997,112.269997,98.114685,3387400
2018-09-25,112.639999,112.750000,111.760002,111.970001,97.852509,3538700
2018-09-26,112.269997,112.860001,111.309998,111.500000,97.441780,4053500
2018-09-27,111.430000,112.400002,110.910004,111.050003,97.048508,3841500
2018-09-28,111.540001,112.050003,110.910004,111.800003,97.703941,5945300
2018-10-01,112.150002,112.480003,110.669998,110.709999,96.751381,5064700
2018-10-02,110.449997,111.110001,107.699997,108.720001,95.012291,6702200
2018-10-03,109.209999,109.709999,107.169998,107.519997,93.963585,6107500
